Nome;Descrizione;Prezzo;Immagine
Bresaolina;Mozzarella di bufala D.O.P., rucola, pomodorini, bresaola, grana, olio evo;10.0;
Brie e Noci;Mozzarella di bufala D.O.P., brie, prosciutto crudo di Parma, noci, scaglie;10.0;
Porcina;Mozzarella di bufala D.O.P., funghi porcini, speck, grana;10.0;porcina.webp
Chloe;Mozzarella di bufala D.O.P., salsiccia, pomodorini, bacon, pesto di basilico, salame piccante, grana;10.5;
Greta;Mozzarella di bufala D.O.P., pomodorini, bresaola, noci, pesto di rucola;11.5;
Deliziosa;Mozzarella di bufala D.O.P., pomodorini, speck, grana, noci;10.0;
