Nome;Descrizione;Prezzo;Immagine
Pollo panato fritto con contorno;Gluten free;7.0;
Pollo panato alla griglia con contorno;Gluten free;7.0;pollo_panato_alla_griglia.webp
Spiedini al pistacchio con contorno;Gluten free;9.0;spiedini_al_pistacchio.webp
Spiedini siciliani con contorno;Gluten free;8.0;spiedini_siciliani.webp
Tagliere di carne;Gluten free;20.0;
Tagliata di scottona - Rucola, funghi e grana;Gluten free;20.0;tagliata_di_scottona.webp
Arrosto di scottona 500 gr con contorno;Gluten free;20.0;
Salsiccia con contorno;Gluten free;7.0;
