Nome;Descrizione;Prezzo;Immagine
Aperitivo siciliano;Un appetitoso mix di antipasti a base di tradizione siciliana in cui troverete: sfincionello palermitano, panelle e crocchè, arancinette ripiene alla carne, 2 focaccine con ricotta e grana, 2 focaccine mortadella bufala e pistacchio, patabacon, patapig, nuggets fatti in casa. Consigliato per 4 persone (Gluten free);28.0;
AperiBurger;Un antipasto perfetto per gli insaziabili nel quale troverete: patapig, pataporchetta, arancinette, nuggets, panelle e crocchè, 4 montanarine, 4 mini burger, 4 calzoncini. Consigliato per 4 persone (Gluten free);30.0;
AperiPorchetta;Un antipasto ideale per chi ama il gusto della porchetta in cui troverete: pataporchetta, patasalsiccia, arancinette, nuggets, panelle e crocchè, 4 mini burger con porchetta, pizza 4 formaggi (Gluten free);30.0;
