Nome;Descrizione;Prezzo;Immagine
Classico;Pomodoro San Marzano D.O.P., mozzarella fior di latte, prosciutto cotto scelto;7.5;
Priolino;Pomodoro San Marzano D.O.P., mozzarella fior di latte, bacon, melenzane fritte, mascarpone ai funghi porcini, gorgonzola, grana;10.0;
Appetitoso;Mozzarella fior di latte, friarielli, salsiccia, salame piccante, gorgonzola, emmental;10.0;
Goloso;Mozzarella fior di latte, speck, scamorza affumicata, patatine fritte, salsa rosa;10.0;
Sempliciotto;Mozzarella fior di latte, bacon, funghi, grana;8.5;
Parigino;Mozzarella fior di latte, friarielli, scamorza affumicata, rucola, speck, pomodorini, bufala stracciata, grana;11.0;
Fagottino;Mozzarella fior di latte, funghi, salsiccia, scamorza affumicata, fonduta di formaggi;10.0;
Pizza cannolo;Mozzarella fior di latte, mortadella, bufala stracciata, pesto di pistacchio, rucola, prosciutto crudo di Parma, scaglie di grana;12.5;
Panino greco;Mozzarella fior di latte, prosciutto cotto scelto, salame piccante, gorgonzola, melenzane fritte;8.5;
