Nome;Descrizione;Prezzo;Immagine
Tortino cuore caldo;Dolce dal cuore morbido e fondente, servito caldo;6.0;tortino_cuore_caldo.webp
Zeppola; Soffice dorata, farcita con cremosa nutella. Granella di pistacchio ;1.5;zeppola.webp
Flauto ;Pasta soffice farcita con nutella e ricoperta da croccante granella di pistacchio;8.0;flauto.webp
Parfait di mandorle;Semifreddo cremoso a base di mandorle, morbido e vellutato, servito con colata di cioccolato;6.0;
